,index,Aboard,Fatalities,Ground
5083,5083,43.0,42.0,0.0
5084,5084,8.0,3.0,0.0
5085,5085,3.0,3.0,0.0
5086,5086,1.0,1.0,0.0
5087,5087,6.0,6.0,0.0
5088,5088,6.0,6.0,0.0
5089,5089,2.0,2.0,0.0
5090,5090,14.0,5.0,0.0
5091,5091,19.0,19.0,0.0
5092,5092,17.0,14.0,0.0
5093,5093,6.0,6.0,0.0
5094,5094,5.0,4.0,0.0
5095,5095,16.0,2.0,3.0
5096,5096,3.0,3.0,0.0
5097,5097,113.0,113.0,0.0
5098,5098,3.0,1.0,0.0
5099,5099,4.0,4.0,0.0
5100,5100,5.0,2.0,0.0
5101,5101,40.0,40.0,0.0
5102,5102,2.0,2.0,0.0
5103,5103,7.0,5.0,0.0
5104,5104,9.0,9.0,0.0
5105,5105,3.0,1.0,0.0
5106,5106,6.0,5.0,1.0
5107,5107,5.0,5.0,0.0
5108,5108,203.0,128.0,0.0
5109,5109,45.0,45.0,0.0
5110,5110,17.0,17.0,0.0
5111,5111,5.0,5.0,0.0
5112,5112,1.0,1.0,0.0
5113,5113,3.0,3.0,0.0
5114,5114,170.0,170.0,0.0
5115,5115,50.0,49.0,0.0
5116,5116,148.0,29.0,0.0
5117,5117,14.0,14.0,0.0
5118,5118,15.0,12.0,0.0
5119,5119,18.0,13.0,0.0
5120,5120,161.0,154.0,0.0
5121,5121,16.0,4.0,0.0
5122,5122,15.0,15.0,0.0
5123,5123,105.0,96.0,0.0
5124,5124,38.0,38.0,0.0
5125,5125,3.0,3.0,0.0
5126,5126,2.0,2.0,0.0
5127,5127,6.0,3.0,0.0
5128,5128,102.0,102.0,0.0
5129,5129,10.0,1.0,0.0
5130,5130,35.0,34.0,0.0
5131,5131,2.0,2.0,0.0
5132,5132,2.0,2.0,0.0
5133,5133,12.0,12.0,0.0
5134,5134,54.0,0.0,1.0
5135,5135,6.0,1.0,0.0
5136,5136,3.0,3.0,0.0
5137,5137,140.0,22.0,0.0
5138,5138,7.0,4.0,0.0
5139,5139,5.0,1.0,0.0
5140,5140,4.0,4.0,0.0
5141,5141,57.0,6.0,0.0
5142,5142,11.0,11.0,0.0
5143,5143,5.0,3.0,0.0
5144,5144,18.0,18.0,0.0
5145,5145,114.0,114.0,0.0
5146,5146,9.0,9.0,0.0
